city|location|price|bedrooms|baths|size
Lahore|Central Park - Block A1, Central Park Housing Scheme|21000000|3|4|1125
Lahore|Multan Road, Lahore|8100000|3|3|675
Lahore|State Life Housing Society, Lahore|16500000|3|4|1125
Lahore|DHA Phase 5, DHA Defence|187500000|6|6|9000
Lahore|DHA Phase 6, DHA Defence|74000000|6|6|4500
Lahore|Park View City - Tulip Block, Park View City|18000000|4|5|1125
Lahore|Bahria Town, Lahore|400000000|6|6|18000
Lahore|Bahria Orchard, Lahore|34500000|5|6|2250
Lahore|OLC - Block B, Overseas Low Cost|22000000|5|6|1800
Lahore|DHA Phase 7, DHA Defence|61000000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|250000000|7|0|9000
Lahore|DHA Phase 5, DHA Defence|90000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|157500000|6|6|9000
Lahore|DHA Phase 5, DHA Defence|250000000|6|6|9000
Lahore|DHA Phase 6, DHA Defence|82500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|39500000|5|6|2250
Lahore|Bedian Road, Lahore|5000000|0|0|4500
Lahore|DHA 9 Town - Block A, DHA 9 Town|32500000|4|5|1800
Lahore|DHA Phase 6 - Block A, DHA Phase 6|47500000|4|5|2250
Lahore|DHA Phase 1, DHA Defence|45000000|4|4|2250
Lahore|Bahria Town - Sector C, Bahria Town|35000000|5|6|2475
Lahore|DHA Phase 7, DHA Defence|64000000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|19000000|3|4|1125
Lahore|Low Cost - Block C, Low Cost Sector|17000000|0|0|1125
Lahore|Low Cost - Block C, Low Cost Sector|28500000|0|0|2250
Lahore|DHA Phase 6, DHA Defence|85000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|69500000|6|6|4500
Lahore|Lake City - Sector M7 - Block B, Lake City - Sector M-7|16000000|3|4|1125
Lahore|DHA Phase 6, DHA Defence|71500000|6|0|4500
Lahore|DHA Phase 6, DHA Defence|142500000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|100000000|5|6|4500
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|74000000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|17900000|3|5|1125
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|60000000|5|6|4500
Lahore|Bahria Orchard, Lahore|25000000|4|5|2025
Lahore|DHA Phase 6, DHA Defence|72500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|69500000|5|6|4500
Lahore|Barki Road, Cantt|30000000|2|3|14400
Lahore|Barki Road, Cantt|100000000|3|2|47700
Lahore|Tajpura, Lahore|6600000|0|0|450
Lahore|Tajpura, Lahore|7700000|0|0|450
Lahore|Tajpura, Lahore|4500000|0|0|225
Lahore|Bahria Orchard Phase 1 - Central, Bahria Orchard Phase 1|39500000|0|0|2250
Lahore|Al-Kabir Town, Raiwind Road|12000000|0|0|675
Lahore|Bahria Orchard Phase 2, Bahria Orchard|16000000|0|0|1125
Lahore|Bahria Orchard, Lahore|6500000|1|1|495
Lahore|Bahria Orchard Phase 4, Bahria Orchard|6000000|2|2|900
Lahore|Low Cost - Block G, Low Cost Sector|17500000|0|0|1350
Lahore|Bahria Orchard, Lahore|17500000|0|0|1125
Lahore|Valencia Housing Society, Lahore|51000000|6|6|2250
Lahore|Bahria Town - Sector E, Bahria Town|18500000|3|3|1372
Lahore|DHA Phase 2, DHA Defence|230000000|6|6|9000
